code,sigla,nombre,sector,funcion_legal,estrategico,ventas_2023_bs,ventas_2024_bs,ventas_2025_bs,gasto_2023_bs,gasto_2024_bs,gasto_2025_bs,ebitda_2025_bs,cash_neto_sigep_2025_bs,apoyo_estado_tgn_re_2025_bs,aportes_capital_acumulado_bs,cuentas_por_cobrar_2025_bs,dias_cobro,resultados_acumulados_bs,capital_pagado_bs,m9_pct_perdida_sobre_capital,m17_dependencia_estado_pct,m15_roic_pct,arquetipo,trayectoria,recomendacion,confianza,fuente_pdf,ficha_url
0573,ES - MUTUN,Empresa Siderúrgica del Mutún,Minería,constitucional,sí,20015163.52,16303178.69,0,18036384.28,31536650.49,0,,,,0,0,,,0,,0,,9. Datos Insuficientes,—,"DIAGNÓSTICO PARCIAL — Distrés Detectado al 2024, Completar Datos 2025",media,https://romer288.github.io/empresas-publicas-bolivia/0573_ES_-_MUTUN.html,0573_ES_-_MUTUN.html
0576,CARTONBOL,Cartones de Bolivia,Industria,comercial,no,33393561.24,38469406.51,0,32485084.25,37371649.79,0,,,,0,0,,,0,,29363.71,,"5. Capital Agotado, Operaciones Viables",Trayectoria Estable,RECAPITALIZAR + PRIVATIZAR,media,https://romer288.github.io/empresas-publicas-bolivia/0576_CARTONBOL.html,0576_CARTONBOL.html
0578,BOA,Boliviana de Aviación,Transporte,funcional,sí,2454802301.17,2731338250.33,2949889320.06,2748511535.26,2760726510.15,3177570290.09,-92600198.82000017,367778781.86,5000000.0,325540351.69,255950622.17000002,35,-347705852.35,325540351.69,-106.8,0.14,,10. Distrés Mixto — Análisis Específico Requerido,—,DIAGNÓSTICO ESPECÍFICO — Análisis Sector/Contexto,alta,https://romer288.github.io/empresas-publicas-bolivia/0578_BOA.html,0578_BOA.html
0580,DAB,Depósitos Aduaneros Bolivianos,Logística,funcional,sí,112028043.7,99868751.71,92818724.59,93207010.95,94507313.13,89589969.54,25978330.110000014,83406481.7,412873.2,30396195.01,6625997.24,24,43371257.85,30396195.01,89.8,0.45,72.94,8. Comercialmente Sano,Trayectoria Adversa,MANTENER + PROFESIONALIZAR GOBERNANZA — URGENTE,alta,https://romer288.github.io/empresas-publicas-bolivia/0580_DAB.html,0580_DAB.html
0584,EBIH,Empresa Boliviana de Industrializacion de Hidrocarburos,Hidrocarburos,constitucional,sí,34849712.92,64407111.5,160980389.06,42291494.41,68052204.8,159649207.81,15243684.829999983,7265064.61,300000.0,14740015.11,45505019.17,63,-38889593.85,14740015.11,-261.3,0.24,,"5. Capital Agotado, Operaciones Viables",Trayectoria Favorable,"RECAPITALIZAR — proceso en curso, continuar",alta,https://romer288.github.io/empresas-publicas-bolivia/0584_EBIH.html,0584_EBIH.html
0585,ABE.,Agencia Boliviana Espacial,Servicios,funcional,sí,280899599.81,224819886.56,226459803.21,223657618.21,217009666.06,219831709.32,190737995.81,45109821.9,255550202.93,371045865.42,24948517.81,30,-319164360.87,371045865.42,-63.9,123.18,13.2,10. Distrés Mixto — Análisis Específico Requerido,—,DIAGNÓSTICO ESPECÍFICO — Análisis Sector/Contexto,alta,https://romer288.github.io/empresas-publicas-bolivia/0585_ABE.html,0585_ABE.html
0586,EASBA,Empresa Azucarera San Buenaventura,Agro,comercial,no,62287554.25,63217609.81,64322089.91,96661562.48,74219339.91,80281133.72,32353221.989999995,14806554.4,,37339446.4,33068453.72,173,-320465902.02,37339446.4,-858.3,0,,"5. Capital Agotado, Operaciones Viables",Trayectoria Estable,RECAPITALIZAR + PRIVATIZAR,alta,https://romer288.github.io/empresas-publicas-bolivia/0586_EASBA.html,0586_EASBA.html
0587,EBC,Empresa Estratégica Boliviana de Construcción y Conservación de Infraestructura Civil,Construcción,comercial,sí,359274355.88,137167587.23,35881799.71,334302173.05,153668797.56,54869673.24,-14717448.269999996,4752722.65,,34505142.16,37804121.08,490,25636341.27,34505142.16,71.1,0,,2. Colapso Multidimensional,Trayectoria Estable,REESTRUCTURAR PROFUNDAMENTE,alta,https://romer288.github.io/empresas-publicas-bolivia/0587_EBC.html,0587_EBC.html
0590,QUIPUS,Empresa Pública QUIPUS,Industria,comercial,no,72987842.66,55307945.01,34455837.31,66090420.59,50643065.75,33269236.07,5826386.740000002,12125836.9,,2251395.1,78789525.75,956,-117479446.21,2251395.1,-5155.9,0,,2. Colapso Multidimensional,Trayectoria Estable,CERRAR (o PRIVATIZAR si activos recuperables),alta,https://romer288.github.io/empresas-publicas-bolivia/0590_QUIPUS.html,0590_QUIPUS.html
0591,Mi teleférico,Empresa Estatal de Transporte por Cable Mi Teleférico,Transporte,funcional,sí,154849736.97,166352174.98,188878187.09,449508349.78,417900228.34,403212717.12,10242988.23000002,22422301.09,500000.0,5466093467.3,573572481.77,1108,-1876003481.9,5466093467.3,-30.9,0.21,,2. Colapso Multidimensional,Trayectoria Estable,REESTRUCTURAR PROFUNDAMENTE,alta,https://romer288.github.io/empresas-publicas-bolivia/0591_Mi_teleférico.html,0591_Mi_teleférico.html
0593,YACANA,Empresa Estatal YACANA,Agro,comercial,no,4408890.23,6025503.49,5123540.42,31544976.1,31074287.02,31535642.81,160945.3400000017,20888.6,,173574.07,174899.11,12,-203256003.79,173574.07,-115705.6,0,,1. Operacionalmente Defuncto,—,LIQUIDAR,alta,https://romer288.github.io/empresas-publicas-bolivia/0593_YACANA.html,0593_YACANA.html
0594,ASP-B,Administración de Servicios Portuarios - Bolivia,Transporte,funcional,sí,102782874.87,84794206.91,93462899.25,88063451.85,96349774.18,89733009.27,11022074.449999988,278092448.38,2531122.0,217624592.97,8878399.43,35,40434346.14,217624592.97,16.5,2.72,26.52,10. Distrés Mixto — Análisis Específico Requerido,—,DIAGNÓSTICO ESPECÍFICO — Análisis Sector/Contexto,alta,https://romer288.github.io/empresas-publicas-bolivia/0594_ASP-B.html,0594_ASP-B.html
0595,GESTORA,Gestora Pública de la Seguridad Social de Largo Plazo,Seguros,funcional,sí,300329056.1,438422175.56,438319005.37,204611853.79,331785191.37,336863460.59,190974087.93,445312737.43,15019460.0,79190247.8,19804873.37,41,192608172.29,79190247.8,233.5,2.94,,10. Distrés Mixto — Análisis Específico Requerido,—,DIAGNÓSTICO ESPECÍFICO — Análisis Sector/Contexto,alta,https://romer288.github.io/empresas-publicas-bolivia/0595_GESTORA.html,0595_GESTORA.html
0596,TAM,Empresa Pública Transporte Aéreo Militar,Transporte,funcional,sí,5179153.86,22268774.95,31617818.83,11454078.62,23462229.46,37010998.36,-1286794.8500000015,2157124.94,,39739151.8,12768670,145,-36569435.06,39739151.8,-90.3,0,,2. Colapso Multidimensional,Trayectoria Estable,REESTRUCTURAR PROFUNDAMENTE,alta,https://romer288.github.io/empresas-publicas-bolivia/0596_TAM.html,0596_TAM.html
0597,YLB,Empresa Pública Nacional Estrategica de Yacimientos de Litio Bolivianos,Minería,constitucional,sí,206982050.05,250694444.95,309470079.99,276954955.31,453946737.61,544971862.17,21163401.330000043,219257518.99,,141809171.21,204800047.96,233,-289055711.4,141809171.21,-203.8,0,,2. Colapso Multidimensional,Trayectoria Estable,REESTRUCTURAR PROFUNDAMENTE,alta,https://romer288.github.io/empresas-publicas-bolivia/0597_YLB.html,0597_YLB.html
